Patent,PC,Normalized Assignee,Family ID,Grouping,Priority Date,Priority Year,Est. Expiration Date,Title,Abstract,First Claim Word Count,PatentStrength,HML,Notes
6983020,PC,"Citrix Systems, Inc.",28040993,Other Topics,3/25/2002,2002,7/3/2023,Method and apparatus for fast block motion detection,A method system and/or apparatus for quickly detecting blocks or regions in an image whose pixels that can be coded efficiently by a pointer to the same block occurring in a reference image. The reference image is shared between an encoder and a corresponding decoder. One embodiment of the encoder quickly detects such blocks in an image by: (a) defining features such that substantially fewer features occur in an image than pixels (b) correlating features in an image to a corresponding feature in the reference image (c) estimating a displacement vector representative of the displacement of the correlated features (d) estimating a seed point within the displaced block from which to grow the block and (e) growing the displaced block to determine its size shape and/or dimensions.,117,92,,
6266335,PC,"Citrix Systems, Inc.",25540967,Data Packets/Network Connection|IP Address/Network Layer|IP Address/Network Packets|IP Address/Routing Packets|IP Address/Cluster Environment|IP Address/Data Link Layer,12/19/1997,1997,12/19/2017,Cross-platform server clustering using a network flow switch,A network flow switch is provided for connecting a pool of IP routers to a cluster of IP servers sharing a single IP address without requiring translation of the IP address. Rather all IP servers have the same IP address. The network flow switch routes packets to individual servers by writing the Data Link Layer address of the destination IP server in the destination Data Link Layer address field of the packet. However no Data Link Layer address translation is required for packets transmitted from the IP servers to the IP routers. Since in a typical client-server environment the number of packets sent from the server to the client is much greater than the number of packets sent from the client to the server the Data Link Layer address translation requires very little overall processing time.,103,92,,
6952714,PC,"Citrix Systems, Inc.",25516338,Other Topics,10/2/2001,2001,9/10/2023,Method for distributed program execution with server-based file type association,A method for enabling distributed program execution. In one aspect the method includes the steps of presenting a graphical depiction of a data file stored on a server system and receiving a selection of the graphical depiction. The method also includes the steps of transmitting the selection of the graphical depiction of the data file to a server system and receiving a request to execute an executable program associated with the selected data file. The request is transmitted by a server system. The method additionally includes executing the executable program associated with the selected data file.,170,91,,
6950991,PC,"Citrix Systems, Inc.",27375491,Software Application/Virtual Channel,11/13/1995,1995,4/9/2017,Interacting with software applications displayed in a web page,The invention enables the display of application-output data within application-output windows embedded in a web browser window. The application-output windows can be dynamically moved resized and otherwise manipulated within the web browser window even when the application program providing the source of the application-output data is non-web enabled (e.g. legacy applications). The invention receives window attribute information associated with the application-output windows via a first virtual channel and displays application-output data received via a second virtual channel within the application-output windows which are formed and/or modified using the window attribute information.,166,91,?,remote desktop channel w/o browser intervention
6601084,PC,"Citrix Systems, Inc.",25537838,Other Topics,12/19/1997,1997,12/19/2017,Dynamic load balancer for multiple network servers,"The present invention provides methods and systems for balancing the load on a plurality of servers using a load balancing algorithm which continuously examines the loads on the plurality of servers and makes adjustments in the loads accordingly. Among the factors considered in the load balancing are the power of each server relative to other servers the load on each server relative to the other servers and a ""credit"" for each server based on their power and load.",137,91,,
7113520,PC,"Citrix Systems, Inc.",26961709,Data Packets/Client Devices,4/11/2001,2001,10/14/2023,Local protocol server,Communicating data packets between a client device and a host system generally includes using a protocol server module located on the client device that terminates a communication session that uses a first protocol and that is intended to enable communications between a source and a destination in which the source is one of a client device operating system protocol stack and the host system and the destination is one of the client device operating system protocol stack and the host system but differs from the source. The protocol server module translates data packets from the source between the first protocol and a second protocol that is different from the first protocol and transports the data packets having the second protocol to the destination. A controller module generally also is included on the client device. The protocol server module may include a PPP server module located on the client device.,176,91,,
7353289,PC,"Citrix Systems, Inc.",27500198,Mobile Devices/Mobile Clients,11/6/2000,2000,4/7/2023,System for an open architecture development platform with centralized synchronization,One aspect of the preferred embodiment relates to an application framework for managing mobile clients and application programs. By utilizing the preferred embodiment a system administrator may be provided the capability to manage and control multiple devices directly and indirectly using push (server-initiated) and/or pull (client-initiated) techniques from a single location. Additionally the preferred embodiment may be utilized to back up and securely store information on the mobile clients identify device usage and to deliver files and databases to the mobile clients.,138,91,,
7127525,PC,"Citrix Systems, Inc.",26902328,Data Packets/Other Topics|Transport Mechanism/Client and Server,5/26/2000,2000,9/22/2023,Reducing the amount of graphical line data transmitted via a low bandwidth transport protocol mechanism,The performance of distributed systems can be improved by reducing the amount of graphical line data transmitted between a server and a client. The server separates the graphical line data into a plurality of strips. The server then determines a quantized angle and a strip length for each of the strips. The beginning coordinate of the graphical line data is packaged together with the quantized angle or indicia of the quantized angle and the strip length data into a protocol packet and compressed prior to transmission to the client. In one embodiment the strip data transmitted to the client includes a second indicia that a particular strip has been previously transmitted to the client and the client is instructed to form the strip using locally stored data.,182,91,,
7502784,PC,"Citrix Systems, Inc.",26902328,Transport Mechanism/File Name|Transport Mechanism/Client and Server|Session Key/Graphical Data,5/26/2000,2000,3/7/2022,Method and system for efficiently reducing graphical display data for transmission over a low bandwidth transport protocol mechanism,The present invention improves the performance of distributed systems by reducing the amount of graphical data transmitted between an application server and a thin client. The encoding technique used for graphical data is adapted in response to the repetitiveness of the graphical data during a particular client-server session. Indexes are maintained that are indicative of this repetitiveness and which identify a particular location in the client's cache memory storing the graphical data. Where the index is not found but a fuzzy key indicates a strong likelihood that the graphical object is located at the client the client's persistent storage memory is searched for a file name corresponding to the fuzzy key and which stores the graphical object therein.,203,91,,
7136353,PC,Bytemobile Inc,26966995,Data Packets/Communications Network|Data Packets/Network Connection|Data Packets/Quality of Service,5/18/2001,2001,12/17/2024,Quality of service management for multiple connections within a network communication system,Improved quality of service management for multiple connections between a sender and a receiver may be achieved by allocating a host-level transmission rate among the multiple connections based on a ratio of a weight associated with each connection and a sum of the weights associated the connections. Data packets associated with the connections may then be selectively transmitted to the receiver such that data packets having a highest difference between the allocated transmission rate and an actual transmission rate are transmitted first. The data packets transmitted to the sender may also be clocked using a transmission timer having period corresponding to the host-level transmission rate.,174,90,,
7031314,PC,Bytemobile Inc,27383358,Data Packets/Communications Network|Data Packets/Network Connection|Data Packets/Data Structures|Data Packets/Intercepting,5/16/2001,2001,1/4/2024,Systems and methods for providing differentiated services within a network communication system,A service module incorporated within the network infrastructure intercepts packets communicated between a client and a server to determine whether the connection corresponds to one of a plurality of service applications that may supported by the service module. If so the service module breaks the connection by terminating the connection with the client at the service module and opening a separate connection between the service module and the server. The service application may then perform application-specific process of the data communicated between the client and server. In order to increase processing efficiency associated with classifying the connection between the client and the server the service module stores classification rules in a plurality of hashing tables with hash conflicts arranged as an m-ary tree structure. This arrangement enables the service module to efficiently search for classification rules and resolve hash conflicts without imposing a significant processing penalty.,164,90,,
6307570,PC,"Citrix Systems, Inc.",26718977,Virtual Server/Client Devices|Client Node/Other Topics|Software Application/Client Devices|Software Application/Client and the Server,3/31/1997,1997,12/19/2017,Virtual input device,"A software object and method are disclosed which allow a client node to control the display and use of a software system-level input device application on a server. The server host and executes the input device application which is \raised\"" and \""lowered\"" in response to change-of-state protocol packets. The system-level input application device may provide keyboard keypad or other input device functionality.""",93,90,H?,app running remotely on server controls client device
7334122,PC,"Ardence Delaware, Inc",29268684,Computing Devices/Client Devices|Virtual Server/Client Devices|Virtual Server/Virtual Disk,4/18/2002,2002,6/7/2022,System for and method of network booting of an operating system to a client computer using hibernation,A system for and method of network booting of an operating system (O/S) on one or more client devices such as personal computers (PC's) employing a hibernation image. Remote booting of sets of client devices is facilitated by employing virtual disk emulation and in certain preferred embodiments broadcasting or multicasting of data residing on a network server which is necessary to appropriately boot and configure the one or more client devices the data including hibernation O/S and application files.,257,90,,
6799270,PC,"Citrix Systems, Inc.",26803601,Session Key/Hash Key|Session Key/Communication Session,10/30/1998,1998,9/24/2019,System and method for secure distribution of digital information to a chain of computer system nodes in a network,Described are a system and method for securely distributing session keys over a network to each node in a chain of computer system nodes. The chain of nodes recursively constructs and presents a nested request to the authentication server. The nested request includes a request from each of the nodes in the chain requiring a session key to communicate with a neighboring node. The authentication server recursively unravels the request and recursively prepares a response that includes a session key for each node that submitted a request. The response traverses the chain of nodes in the reverse order taken by the nested request to reach the authentication server. Each node receiving the response extracts the portion of the response directed to that node and forwards the remainder of the response if any to the next node in the chain. Thus with a single traversal of the chain of nodes each node receives at least one session key. The forward and reverse protocols easily generalize for any number of nodes in the chain. The protocols can employ one-way hash functions to seal requests and responses and to encode session keys.,172,89,,
7024460,PC,Bytemobile Inc,26790339,Data Packets/Data Streams|Data Packets/Communications Network|Data Packets/Client Devices|Data Packets/Network Connection|Data Packets/Intercepting|Software Application/Client Devices|Software Application/Client and the Server|Software Application/Infrastructure|Software Application/Redirection|Software Application/Intercepting,7/31/2001,2001,1/31/2024,Service-based compression of content within a network communication system,A service module incorporated within the network infrastructure intercepts packets communicated between a client and a server to determine whether the connection corresponds to an email service. If so the service module breaks the connection by terminating the connection with the client at the service module and opening a separate connection between the service module and the server. Packets communicated between the client and the server may then be redirected to an email compression application that monitors messages communicated between the client and the server and processes the messages in accordance with the state of the email session. For messages corresponding to connection establishment user authentication and other protocol-specific messages for example the email compression application may be configured to forward the messages to the originally intended destination. Messages corresponding to an email message data however are buffered within the email compression application. Once the entire message has been received the email compression application may strip the message headers and any protocol-specific data compress the data and attach new message headers corresponding to the compressed email message. The compressed and reformatted email message is then reinserted into the data stream for transmission to the intended destination. Because compression may occur between the server and client compression may be performed without requiring special processing by the server before email messages are sent. Furthermore because the email messages may be compressed in a format that can be readily decompressed using decompression libraries incorporated within the operating system of client devices such as the CAB format or GZIP format the client may decompress received email messages utilizing software already incorporated within the operating system of the client device without requiring download or installation of special decompression software and/or coordination of compression/decompression of email messages with the server or sending party.,135,88,,
8131817,PC,"Citrix Systems, Inc.",28039321,Other Topics,3/14/2002,2002,6/28/2022,Method and system for generating a graphical display for a remote terminal session,In one aspect the invention relates to a method for generating a graphical display for a remote terminal session. The method includes monitoring output produced by an application program executing on a server identifying a bitmap representation within the output produced by the application program and determining a check value for the bitmap representation. The method also includes retrieving a compressed data format of the bitmap representation based at least in part on the check value and transmitting to the remote terminal session the compressed data format in place of the bitmap representation.,239,88,M?,"remote desktop server hashes non-text elements and transmits to client only when client confirms hash miss, ie client doesn't already have the element"
7099273,PC,Bytemobile Inc,27370077,Data Packets/Communications Network|Data Packets/Network Connection,4/12/2001,2001,11/15/2024,Data transport acceleration and management within a network communication system,Improved data transport and management within a network communication system may be achieved by utilizing a transmit timer incorporated within the sender device and exploiting host-level statistics for a plurality of connections between a sender and receiver. The period of the transmit timer may be periodically adjusted based on a ratio of the smoothed round-trip time and the smoothed congestion window thereby reducing or eliminating bursty data transmission commonly associated with conventional TCP architectures. For applications having a plurality of connections between a sender and a receiver that share a common channel such as web applications the congestion window and smoothed round trip time estimates for all active connections may be used to initialize new connections and allocate bandwidth among existing connections. This aspect of the present invention may reduce the destructive interference that may occur as different connections compete with one another to maximize the bandwidth of each connection without regard to other connections serving the same application. Error recovery may also be improved by incorporating a short timer and a long timer that are configured to reduce the size of the congestion window and the corresponding transmission rate in response to a second packet loss with a predefined time period in order to increase resilience to random packet loss.,95,87,,
6954852,PC,"Ardence Delaware, Inc",29268684,Computing Devices/Client Devices|Virtual Server/Client Devices|Virtual Server/Virtual Disk,4/18/2002,2002,11/12/2023,System for and method of network booting of an operating system to a client computer using hibernation,A system for and method of network booting of an operating system (O/S) on one or more client devices such as personal computers (PC's) employing a hibernation image. Remote booting of sets of client devices is facilitated by employing virtual disk emulation and in certain preferred embodiments broadcasting or multicasting of data residing on a network server which is necessary to appropriately boot and configure the one or more client devices the data including hibernation O/S and application files.,525,86,,
5963540,PC,"Citrix Systems, Inc.",25540638,MAC Address,12/19/1997,1997,12/19/2017,Router pooling in a network flowswitch,A router fault tolerant network interface system includes a switch circuit configured to detect when a router fails in a multi-router local network. When a failed router is detected the switch circuit waits for a time-out period to expire to allow convergence. The switch circuit then intervenes when traffic from a server to the failed router is detected. The switch circuit translates the MAC address of the failed router to the MAC address of a functional router. Traffic from a server originally directed to the failed router is then redirected to a functional router. In a further refinement the switch circuit provides the MAC address of a functional router in response to an ARP request from a server to the failed router. Thus traffic from this server will be directed to the functional router without further intervention reducing the overhead of the switch circuit. In still a further refinement if the failed router recovers the switch circuit waits for a time-out period to expire to allow convergence of external routers and to allow the recovered router to learn routes to known clients. The switch circuit then ceases all intervention for the MAC address of the now recovered router.,112,85,,
6052785,PC,Citrix Systems International Gmbh,25524056,Remote Access/Remote File,11/21/1997,1997,11/21/2017,Multiple remote data access security mechanism for multitiered internet computer networks,A system and method for managing client authorization to access remote data repositories through a middle tier server such as a web server. Client remote data repository access is intercepted by the middle tier server and the server is searched for stored credentials permitting client access to the remote data repository. If found the stored credentials are used to authenticate access without further interaction with the client system. If no stored credentials are found the server requests credentials from the client and passes them to the remote data repository for validation. Validated credentials are stored by the server for future use and indexed by a client identifier. Permitted remote data repository access is stored with the validated credentials. Access to a mounted remote file system is not permitted without authorization even if the remote file system would not otherwise require authorization.,108,84,,
7870144,PC,Citrix Systems International Gmbh,28040340,Other Topics,3/21/2002,2002,5/24/2023,Method and system for updating attachment files,A method of updating a file attached to an electronic document can include attaching a file to an electronic document and storing a reference to the attached file. The reference can specify a location from which the attached file was obtained. Responsive to a user input the attached file can be replaced with a file specified by the reference. The attached file also can be updated from newly specified locations.,156,84,,
6859879,PC,Citrix Systems International Gmbh,27798767,Other Topics,5/26/2000,2000,1/23/2023,Method and system for secure pervasive access,The present invention relates to a client-server system having a security system for controlling access to application functions. The security system separated from the clients and the application functions routes all incoming requests created by various PVC-devices to a centralized security system providing an authentication component and a security component. The authentication component provides several authentication mechanisms which may be selected by information contained in the client's request. The authentication mechanism may be changed or extended without changing conditions on the client as well on the server or application side. The security component provides a security policy describing security requirements for accessing application functions which may be invoked by the security component. If the selected authentication mechanism succeeds and fulfills the security policy associated to that application function then the application function will be invoked by the security component.,166,82,,
8527615,PC,"Citrix Systems, Inc.",27381447,Client Node/User Credentials,12/29/1998,1998,12/29/2022,Apparatus and method for determining a program neighborhood for a client node in a client-server network,An apparatus and method for determining a program neighborhood of a client node in a client-server network is described. The program neighborhood of the client node includes application programs hosted by application servers on the network. The present invention enables a user of a client node to learn of these application programs. The user is not required to know where to find such applications or to manually establish links to such applications. To make the client node aware of its program neighborhood a host server collects application-related information corresponding to application programs hosted by the servers in the network. The application-related information can include the application name the server location of the application minimum capabilities required of client nodes for executing the application and those users who are authorized to use that application. User credentials are received from the client system. The user credentials are used to filter the application-related information. Information representing those application programs that are available to the client node is transmitted from the host server to the client system for display. In a Windows-based client node the information can be represented by a graphical icon for each available application program.,246,80,,
8224886,PC,"Citrix Systems, Inc.",27500198,Mobile Devices/Mobile Clients,11/6/2000,2000,10/30/2022,System for an open architecture deployment platform with centralized synchronization,One aspect of the preferred embodiment relates to an application framework for managing mobile clients and application programs. By utilizing the preferred embodiment a system administrator may be provided the capability to manage and control multiple devices directly and indirectly using push (server-initiated) and/or pull (client-initiated) techniques from a single location. Additionally the preferred embodiment may be utilized to back up and securely store information on the mobile clients identify device usage and to deliver files and databases to the mobile clients.,101,79,,
8090808,PC,"Ardence Delaware, Inc",29268684,Computing Devices/Client Devices|Virtual Server/Client Devices|Virtual Server/Virtual Disk,4/18/2002,2002,3/6/2023,System for and method of network booting of an operating system to a client computer using hibernation,A system for and method of network booting of an operating system (O/S) on one or more client devices such as personal computers (PC's) employing a hibernation image. Remote booting of sets of client devices is facilitated by employing virtual disk emulation and in certain preferred embodiments broadcasting or multicasting of data residing on a network server which is necessary to appropriately boot and configure the one or more client devices the data including hibernation O/S and application files.,295,77,,
8127025,PC,"Citrix Systems, Inc.",27500198,Mobile Devices/Mobile Clients,11/6/2000,2000,11/6/2021,System for an open architecture development platform with centralized synchronization,One aspect of the preferred embodiment relates to an application framework for managing mobile clients and application programs. By utilizing the preferred embodiment a system administrator may be provided the capability to manage and control multiple devices directly and indirectly using push (server-initiated) and/or pull (client-initiated) techniques from a single location. Additionally the preferred embodiment may be utilized to back up and securely store information on the mobile clients identify device usage and to deliver files and databases to the mobile clients.,175,76,,
7512694,PC,Bytemobile Inc,26933992,Computing Devices/Client Devices,1/21/2000,2000,3/2/2023,Wireless communications invisible proxy and hooking systems and methods,An communications service provider provides wireless access to a packetized data network such as the Internet. The service provider includes a server computer. The server computer is connected to the network which is at least in part a wired network. The wired network is connected to a cellular wireless communications system. A method of the network includes a client device that communicates wirelessly with the server computer. The client device runs standard applications programs such as browser ftp and e-mail. The method includes serving a first information by the server computer to the client device according to a specialized protocol determining that the first information accords with the specialized protocol and proxying the first information to the standard programs in a standard protocol readable by the standard programs.,327,76,,
8099389,PC,"Citrix Systems, Inc.",26902328,Transport Mechanism/File Name|Transport Mechanism/Client and Server|Session Key/Graphical Data,5/26/2000,2000,6/2/2022,Method and system for efficiently reducing graphical display data for transmission over a low bandwidth transport protocol mechanism,The present invention improves the performance of distributed systems by reducing the amount of graphical data transmitted between an application server and a thin client. The encoding technique used for graphical data is adapted in response to the repetitiveness of the graphical data during a particular client-server session. Indexes are maintained that are indicative of this repetitiveness and which identify a particular location in the client's cache memory storing the graphical data. Where the index is not found but a fuzzy key indicates a strong likelihood that the graphical object is located at the client the client's persistent storage memory is searched for a file name corresponding to the fuzzy key and which stores the graphical object therein.,143,75,,
